user_id,product_id,interaction_type,price
CUST0071,Altec Jacket H2O 10 W Portable Bluetooth Speaker,view,5343
CUST0027,Altec Jacket H2O 10 W Portable Bluetooth Speaker,view,5343
CUST0063,Altec Jacket H2O 10 W Portable Bluetooth Speaker,wishlist,5343
CUST0127,Altec Jacket H2O 10 W Portable Bluetooth Speaker,wishlist,5343
CUST0129,Altec Jacket H2O 10 W Portable Bluetooth Speaker,wishlist,5343
CUST0023,Altec Jacket H2O 10 W Portable Bluetooth Speaker,view,5343
CUST0046,Altec Jacket H2O 10 W Portable Bluetooth Speaker,view,5343
CUST0022,Altec Jacket H2O 10 W Portable Bluetooth Speaker,wishlist,5343
CUST0001,Altec Jacket H2O 10 W Portable Bluetooth Speaker,wishlist,5343
CUST0038,Altec Jacket H2O 10 W Portable Bluetooth Speaker,purchase,5343
CUST0140,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),wishlist,7132
CUST0061,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),view,7132
CUST0143,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),purchase,7132
CUST0122,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),purchase,7132
CUST0038,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),view,7132
CUST0113,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),purchase,7132
CUST0012,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),view,7132
CUST0118,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),wishlist,7132
CUST0016,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),wishlist,7132
CUST0055,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),purchase,7132
CUST0133,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),purchase,1010
CUST0103,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),view,1010
CUST0120,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),wishlist,1010
CUST0017,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),wishlist,1010
CUST0143,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),view,1010
CUST0038,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),view,1010
CUST0107,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),view,1010
CUST0137,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),view,1010
CUST0090,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),view,1010
CUST0097,APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),view,1010
CUST0064,APPLE iPhone 12 (Blue 128 GB),purchase,2054
CUST0150,APPLE iPhone 12 (Blue 128 GB),view,2054
CUST0132,APPLE iPhone 12 (Blue 128 GB),wishlist,2054
CUST0134,APPLE iPhone 12 (Blue 128 GB),wishlist,8404
CUST0093,APPLE iPhone 6s Plus (Rose Gold 64 GB),wishlist,8404
CUST0031,APPLE iPhone 6s Plus (Rose Gold 64 GB),wishlist,8404
CUST0024,APPLE iPhone 6s Plus (Rose Gold 64 GB),view,8404
CUST0095,APPLE iPhone 6s Plus (Rose Gold 64 GB),wishlist,8404
CUST0076,APPLE iPhone 6s Plus (Rose Gold 64 GB),wishlist,8404
CUST0125,APPLE iPhone 6s Plus (Rose Gold 64 GB),purchase,8404
CUST0133,APPLE iPhone 6s Plus (Rose Gold 64 GB),purchase,8404
CUST0024,APPLE iPhone 6s Plus (Rose Gold 64 GB),wishlist,8404
CUST0120,APPLE iPhone 6s Plus (Rose Gold 64 GB),wishlist,8404
CUST0127,APPLE iPhone 6s Plus (Rose Gold 64 GB),view,8175
CUST0059,APPLE iPhone SE (Black 256 GB),wishlist,8175
CUST0131,APPLE iPhone SE (Black 256 GB),purchase,8175
CUST0102,APPLE iPhone SE (Black 256 GB),purchase,8175
CUST0018,APPLE iPhone SE (Black 256 GB),wishlist,8175
CUST0139,APPLE iPhone SE (Black 256 GB),view,8175
CUST0051,APPLE iPhone SE (Black 256 GB),wishlist,8175
CUST0124,APPLE iPhone SE (Black 256 GB),wishlist,8175
CUST0059,APPLE iPhone SE (Black 256 GB),wishlist,8175
CUST0029,APPLE iPhone SE (Black 256 GB),wishlist,8175
CUST0076,APPLE iPhone SE (Black 256 GB),purchase,9018
CUST0042,Apple iPhone XR (Black 128 GB) (Includes EarPods Power Adapter),wishlist,9018
CUST0105,Apple iPhone XR (Black 128 GB) (Includes EarPods Power Adapter),purchase,9018
CUST0141,Apple iPhone XR (Black 128 GB) (Includes EarPods Power Adapter),wishlist,9018
CUST0122,Apple iPhone XR (Black 128 GB) (Includes EarPods Power Adapter),wishlist,9018
CUST0105,Apple iPhone XR (Black 128 GB) (Includes EarPods Power Adapter),wishlist,9018
CUST0148,Apple iPhone XR (Black 128 GB) (Includes EarPods Power Adapter),purchase,9018
CUST0059,Apple iPhone XR (Black 128 GB) (Includes EarPods Power Adapter),purchase,9018
CUST0017,Apple iPhone XR (Black 128 GB) (Includes EarPods Power Adapter),wishlist,9018
CUST0016,Apple iPhone XR (Black 128 GB) (Includes EarPods Power Adapter),purchase,9018
CUST0023,Apple iPhone XR (Black 128 GB) (Includes EarPods Power Adapter),wishlist,5810
CUST0128,Apple iPhone XR (Blue 64 GB) (Includes EarPods Power Adapter),wishlist,5810
CUST0110,Apple iPhone XR (Blue 64 GB) (Includes EarPods Power Adapter),purchase,5810
CUST0050,Apple iPhone XR (Blue 64 GB) (Includes EarPods Power Adapter),purchase,5810
CUST0043,Apple iPhone XR (Blue 64 GB) (Includes EarPods Power Adapter),view,5810
CUST0084,Apple iPhone XR (Blue 64 GB) (Includes EarPods Power Adapter),purchase,5810
CUST0141,Apple iPhone XR (Blue 64 GB) (Includes EarPods Power Adapter),view,5810
CUST0029,Apple iPhone XR (Blue 64 GB) (Includes EarPods Power Adapter),view,5810
CUST0036,Apple iPhone XR (Blue 64 GB) (Includes EarPods Power Adapter),view,5810
CUST0024,Apple iPhone XR (Blue 64 GB) (Includes EarPods Power Adapter),purchase,1252
CUST0075,Apple iPhone XR (Blue 64 GB) (Includes EarPods Power Adapter),wishlist,1252
CUST0077,Apple iPhone XR (Yellow 128 GB) (Includes EarPods Power Adapter),view,1252
CUST0017,Apple iPhone XR (Yellow 128 GB) (Includes EarPods Power Adapter),view,1252
